id,title,genres,release_date,revenue,budget,country
227159,Horrible Bosses 2,Comedy,2014.0,107670357,42000000,United States of America
256961,Paul Blart: Mall Cop 2,Action|Comedy|Family,2015.0,107597242,38000000,United States of America
77174,ParaNorman,Family|Animation|Adventure|Comedy,2012.0,107139399,60000000,United States of America
13836,Race to Witch Mountain,Adventure|Family|Fantasy|Science Fiction|Thriller|Action,2009.0,106303988,50000000,United States of America
82682,Gangster Squad,Crime|Drama|Action|Thriller,2013.0,105200903,60000000,United States of America
44603,Hereafter,Drama|Fantasy,2010.0,105197635,50000000,United States of America
9870,Forgetting Sarah Marshall,Comedy|Romance|Drama,2008.0,105173115,30000000,United States of America
16866,Planet 51,Science Fiction|Animation|Family|Comedy|Adventure,2009.0,104945765,70000000,Spain
198184,Chappie,Crime|Action|Science Fiction,2015.0,104399548,49000000,Mexico
296099,Vacation,Comedy,2015.0,104384188,31000000,United States of America
280092,Insidious: Chapter 3,Drama|Horror|Thriller,2015.0,104303851,10000000,Canada
242512,Ouija,Horror,2014.0,103590271,5000000,Japan
194662,Birdman,Drama|Comedy,2014.0,103215094,18000000,United States of America
157353,Transcendence,Thriller|Science Fiction|Drama|Mystery,2014.0,103039258,100000000,China
43347,Love & Other Drugs,Drama|Comedy|Romance,2010.0,102820008,30000000,United States of America
19908,Zombieland,Comedy|Horror,2009.0,102391382,23600000,United States of America
76487,The Devil Inside,Thriller|Horror,2012.0,101758490,1000000,United States of America
88751,Journey to the Center of the Earth,Action|Science Fiction|Adventure|Comedy|Family,2008.0,101702060,45000000,United States of America
10189,Pineapple Express,Action|Comedy,2008.0,101624843,27000000,United States of America
236751,Heaven is for Real,Drama,2014.0,101332962,12000000,United States of America
24420,The Time Traveler's Wife,Drama|Romance|Fantasy,2009.0,101229792,39000000,United States of America
274479,Joy,Drama|Comedy,2015.0,101134059,60000000,United States of America
14435,My Bloody Valentine,Mystery|Horror,2009.0,100734718,15000000,United States of America
218778,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Family|Comedy,2014.0,100654149,28000000,United States of America
226486,Tammy,Comedy,2014.0,100525432,20000000,United States of America
205220,Philomena,Drama,2013.0,100129872,12000000,United Kingdom
16523,Where the Wild Things Are,Family|Fantasy,2009.0,100086793,100000000,United States of America
10488,Nim's Island,Adventure|Comedy|Family|Fantasy,2008.0,100076342,37000000,United States of America
57214,Project X,Comedy|Crime,2012.0,100000000,12000000,United States of America
256040,Baahubali: The Beginning,Action|Adventure|War|History,2015.0,100000000,40000000,India
77877,The Lucky One,Drama|Romance,2012.0,99357138,25000000,United States of America
160588,Blue Jasmine,Comedy|Drama,2013.0,99206215,18000000,United States of America
211954,Instructions Not Included,Comedy|Drama,2013.0,99067206,5500000,Mexico
261023,Black Mass,Crime|Drama,2015.0,98837872,53000000,United Kingdom
298312,The Visit,Horror|Thriller,2015.0,98450062,5000000,United States of America
54518,Justin Bieber: Never Say Never,Documentary|Music|Family,2011.0,98441954,13000000,United States of America
87421,Riddick,Science Fiction|Action|Thriller,2013.0,98337295,38000000,United States of America
37821,Killers,Action|Comedy|Thriller|Romance,2010.0,98159963,75000000,United States of America
112949,Safe Haven,Romance,2013.0,97594140,28000000,United States of America
309809,The Little Prince,Adventure|Animation|Fantasy,2015.0,97571250,64000000,France
39513,Paul,Adventure|Comedy|Science Fiction,2011.0,97552050,40000000,United States of America
109428,Evil Dead,Horror,2013.0,97542952,17000000,United States of America
228326,The Book of Life,Romance|Animation|Adventure|Comedy|Family|Fantasy,2014.0,97437106,50000000,Mexico
41446,Scream 4,Horror|Mystery,2011.0,97138686,40000000,United States of America
49018,Insidious,Horror|Thriller,2010.0,97009150,1500000,United States of America
5038,Vicky Cristina Barcelona,Drama|Romance,2008.0,96408652,15000000,United States of America
23483,Kick-Ass,Action|Crime,2010.0,96188903,28000000,United Kingdom
67660,Think Like a Man,Comedy|Romance,2012.0,96070507,12000000,United States of America
48171,The Rite,Drama|Thriller|Horror,2011.0,96047633,37000000,United States of America
10024,My Sister's Keeper,Drama,2009.0,95714875,30000000,United States of America
62837,Dolphin Tale,Drama|Family,2011.0,95404397,37000000,United States of America
76758,The Flowers of War,Drama|History|War,2011.0,95311434,94000000,China
109410,42,Drama,2013.0,95020213,40000000,United States of America
109424,Captain Phillips,Action|Drama|Thriller,2013.0,95000000,55000000,United States of America
22972,Green Zone,War|Action|Adventure|Drama|Thriller,2010.0,94882889,100000000,Spain
291870,Dirty Grandpa,Comedy,2016.0,94073028,11500000,United States of America
271969,Ben-Hur,Drama,2016.0,94061311,100000000,United States of America
7459,Speed Racer,Action|Family|Science Fiction,2008.0,93945766,120000000,Australia
205775,In the Heart of the Sea,Thriller|Drama|Adventure|Action|History,2015.0,93820758,100000000,United States of America
45317,The Fighter,Drama,2010.0,93617009,25000000,United States of America
7980,The Lovely Bones,Fantasy|Drama,2009.0,93525586,65000000,United Kingdom
303858,Money Monster,Thriller,2016.0,93282604,27000000,United States of America
35019,Nanny McPhee and the Big Bang,Comedy|Fantasy,2010.0,93246388,35000000,United States of America
15373,Role Models,Comedy,2008.0,92380927,28000000,United States of America
22949,Old Dogs,Comedy|Family,2009.0,92219310,35000000,United States of America
307081,Southpaw,Action|Drama,2015.0,91709827,30000000,United States of America
16538,"I Love You, Man",Comedy,2009.0,91636986,41000000,United States of America
12437,Underworld: Rise of the Lycans,Fantasy|Action|Adventure|Science Fiction|Thriller,2009.0,91353501,35000000,United States of America
16871,Drag Me to Hell,Horror|Thriller,2009.0,90810892,30000000,United States of America
123553,The Mortal Instruments: City of Bones,Action|Adventure|Drama|Mystery|Romance|Fantasy,2013.0,90565421,60000000,United States of America
96721,Rush,Drama|Action,2013.0,90247624,38000000,Germany
32823,Get Him to the Greek,Comedy,2010.0,90029656,40000000,United States of America
23629,Sucker Punch,Action|Fantasy|Thriller,2011.0,89792502,82000000,United States of America
42297,Burlesque,Drama|Romance,2010.0,89519773,55000000,United States of America
158015,The Purge,Science Fiction|Horror|Thriller,2013.0,89328627,3000000,France
57201,The Lone Ranger,Action|Adventure|Western,2013.0,89289910,255000000,United States of America
