rank,title,studio,lifetime_gross,year
13828,Abracadabra,Sony,13975,2017
13829,The Prey,Cohen,13959,2013
13830,Planet of Snail,CGld,13957,2012
13833,Yosemite,Mont.,13931,2016
13834,The Hallow,IFC,13906,2015
13835,This is Martin Bonner,Mont.,13888,2013
13837,Falling Away,Indic.,13869,2012
13839,Backcountry,IFC,13848,2015
13841,Sympathy for Delicious,Maya,13826,2011
13842,13 Sins,RTWC,13809,2014
13843,Poultrygeist: Night of the Chicken Dead,Troma,13804,2008
13845,The Pretty One,Da.,13769,2014
13846,The Day He Arrives,CGld,13746,2012
13847,A Space Program,Zeit.,13739,2016
13849,Dorfman in Love,BSM,13737,2013
13850,Don McKay,Imag.,13722,2010
13851,Full Grown Men,Emr.,13716,2008
13853,Time to Die,FM,13707,2017
13855,Amour Fou,FM,13702,2015
13856,After Love,Distrib.,13693,2017
13857,Daisies (2012 re-release),Jan.,13692,2012
13858,Laila's Birthday,Kino,13689,2009
13859,The Law in These Parts,CGld,13683,2012
13860,Tikkun,KL,13671,2016
13861,Red Trees,Cohen,13666,2017
13864,The Boy Downstairs,FR,13638,2018
13866,Fifi Howls From Happiness,MBox,13614,2014
13867,When the Iron Bird Flies,AM,13598,2012
13868,Legend of the Naga Pearls,WGUSA,13588,2017
13869,Reuniting the Rubins,Mont.,13569,2012
13870,Eli,Eros,13547,2015
13871,Dysfunctional Friends,DTP,13546,2012
13872,Paper Man,MPI,13514,2010
13874,Handsome Harry,Pala.,13500,2010
13875,Shadowman,FM,13498,2017
13876,The Monk,ATO,13472,2013
13878,Spices of Liberty,Hann.,13463,2016
13879,The Duelist,Sony,13450,2016
13880,The Escapist,IFC,13439,2009
13881,Benda Bilili!,NGE,13420,2011
13883,War of the Worlds: Goliath,BCMG,13385,2014
13884,Citadel,Cdgm.,13377,2012
13885,A Long Way Down,Magn.,13347,2014
13887,Shed Skin Papa,CL,13331,2018
13890,Violet Tendencies,Embr.,13304,2010
13891,Camp X-Ray,IFC,13302,2014
13892,Sherman's Way,ICir,13282,2009
13894,Kicking It,LibE,13266,2008
13895,Late Spring (2016 re-release),Jan.,13254,2016
13896,Days and Nights,IFC,13243,2014
13897,Harold,CityL,13229,2008
13898,Our Blood is Wine,MBox,13210,2018
13899,Red Obsession,A23,13199,2013
13900,Adderall Diaries,A24,13191,2016
13901,Blind Mountain,Kino,13164,2008
13903,Sol LeWitt,Icar.,13146,2014
13904,The Pleasures of Being Out of Step,FRun,13137,2014
13907,The Trouble with Bliss,7A,13093,2012
13908,Under the Boardwalk: The Monopoly Story,Tost.,13080,2011
13909,The Program (2016),EOne,13074,2016
13911,Nothing But a Man (2012 re-release),APD/C,13063,2012
13912,My Mexican Shivah,Emr.,13042,2008
13914,Jim (2010),A23,13015,2010
13915,"How Much Does Your Building Weigh, Mr. Foster?",FRun,13013,2012
13916,Norwegian Wood,RF,13000,2012
13918,Leap Year (2011),Strand,12979,2011
13919,Andrei Rublev (re-release),Jan.,12979,2018
13920,Bloodworth,Gold.,12971,2011
13921,Like Me,KL,12965,2018
13923,K2: Siren of the Himalayas,FRun,12959,2014
13925,How Victor 'The Garlic' Took Alexey 'The Stud' to the Nursing Home,CARUSEL,12954,2018
13928,A Green Story,Indic.,12901,2013
13929,Alien Abduction,IFC,12897,2014
13930,Taipei Story (2017 re-release),Jan.,12897,2017
13932,J'entends plus la guitare,FDesk,12876,2008
13933,"Lou Andreas-Salomé, the Audacity to be Free",CLS,12875,2018
13935,Permanent,Magn.,12847,2017
13936,The Art of Being Straight,Reg.,12831,2009
13937,Neither Heaven Nor Earth,FM,12810,2016
13939,Junction 48,Orch.,12795,2017
13941,In Search of Fellini,AMBI,12772,2017
13942,Lake City,Scre.,12767,2008
13943,Yakuza Apocalypse,Gold.,12756,2015
13945,Virginia,EOne,12728,2012
13949,Concerning Violence,KL,12680,2014
13950,Heal (2017),Pala.,12668,2017
13951,Special ID,WGUSA,12666,2014
13954,August,First,12636,2008
13955,Bhopal: A Prayer for Rain,Rvl,12628,2014
13957,American Socialist: The Life & Times of Eugene Victor Debs,FRun,12609,2018
13961,Boy Meets Girl,CFilms,12589,2014
13962,Around June,Indic.,12578,2012
13964,My Art,FM,12554,2018
13967,The Monster (2016),A24,12544,2016
13968,Blind,VE,12522,2017
13969,Jake's Corner,Emr.,12522,2008
13970,City of Women (2016 re-issue),Cohen,12516,2016
13972,The Ones Below,Magn.,12488,2016
13973,"Kiki, Love to Love",Strand,12450,2016
13974,Felicite,Strand,12433,2017
13975,"10,000 Km",BG,12423,2015
13976,Seven Beauties (2017 re-release),KL,12408,2017
13977,For Ellen,Trib.,12396,2012
13978,America the Beautiful 2: The Thin Commandments,PMKBNC,12366,2011
13979,Rebirth,Osci.,12358,2011
13980,Grassroots,Gold.,12356,2012
13983,Backseat,Truly,12343,2008
13985,Full Battle Rattle,MEnd,12306,2008
13987,4 Days in France,CGld,12273,2017
13988,The Armor of Light,FFS,12267,2015
13989,Arabian Nights: Volume 1 - The Restless One,KL,12260,2015
13990,Wa-shoku: Beyond Sushi,UTMW,12240,2015
13991,The Living Wake,Mang.,12232,2010
13993,Let Yourself Go,Men.,12189,2018
13994,The Selfish Giant,IFC,12189,2013
13997,Elstree 1976,FR,12173,2016
13998,Staying Vertical,Strand,12158,2017
13999,Fritz Lang's Destiny (2016 re-release),KL,12156,2016
14000,Touch the Wall,TTW,12156,2014
14001,Shahid,UTV,12153,2013
14002,Wolves,KE,12139,2014
14003,Back Door Channels,FKF,12139,2011
14004,"If I Want to Whistle, I Whistle",FM,12135,2011
14005,In No Great Hurry: 13 Lessons in Life with Saul Leiter,mTuck,12133,2014
14006,The Most Unknown,Abr.,12119,2018
14007,Hot Water,Indic.,12101,2016
14009,The Kids Grow Up,Shad.,12095,2010
14010,Murder in the Park,IFC,12088,2015
14011,When Two Worlds Collide,FRun,12080,2016
14012,Little England,Crnth,12077,2015
14014,The Escape,IFC,12074,2018
14015,Sex Positive,Reg.,12069,2009
14017,Defamation,FRun,12038,2009
14018,The French Minister,IFC,12027,2014
14019,Lost Angels: Skid Row is My Home,CLS,12025,2012
14020,Picture Me,Strand,12008,2010
14023,Deep Gold,BFA,12000,2011
14024,Minding the Gap,Magn.,11998,2018
14025,Kill Zone 2,WGUSA,11998,2016
14029,Last Stop for Paul,Mndt,11951,2008
14030,The Go-Getter,PArch,11931,2008
14031,John McEnroe: In the Realm of Perfection,Osci.,11915,2018
14033,Of Horses and Men,MBox,11894,2015
14034,In the Fog,Strand,11894,2013
14038,Quid Pro Quo,Magn.,11864,2008
14039,Revenge of the Mekons,MBox,11861,2014
14041,Contre-Enquete,All.,11846,2008
14042,Dreams Rewired,Icar.,11843,2015
14043,Les Parents Terribles (2018 re-release),Cohen,11818,2018
14045,Emptying the Skies,MBox,11811,2015
14047,Chelsea on the Rocks,Aliq.,11799,2009
14048,The Dry Land,Free,11777,2010
14049,Falcon Rising,Free,11774,2014
14051,Rid of Me,SD,11740,2011
14053,Lucha Mexico,KL,11722,2016
14054,Marie's Story,FM,11720,2015
14055,White Wedding,Da.,11710,2010
14057,Hannah (2018),PDF,11700,2018
14058,One Peace at a Time,Mont.,11698,2009
14061,Don't Call Me Son,Zeit.,11678,2016
14063,Salt of this Sea,Lorb.,11662,2010
14065,Charlie Countryman,MNE,11650,2013
14066,36 Saints,AFP,11640,2013
14067,Life of Riley,KL,11616,2014
14069,Living is Easy with Eyes Closed,Outs,11600,2014
14070,Operation Filmmaker,Icar.,11573,2008
14071,This is Our Land,Distrib.,11567,2018
14074,The Preppie Connection,IFC,11558,2016
14075,River of Grass,Osci.,11553,2016
14077,The Ruins of Lifta,FRun,11548,2016
14078,Kidnapping of Michel Houellebecq,KL,11546,2015
14079,Ultrasuede,Trib.,11539,2012
14080,After the Cup: Sons of Sakhnin United,Vari.,11538,2010
14081,Dead Awake (2017),FR,11528,2017
14083,Elektra Luxx,Gold.,11514,2011
14084,You're Not You,EOne,11486,2014
14088,The Taqwacores,Strand,11445,2010
14089,Sputnik Mania,Bal.,11441,2008
14090,Gardens of the Night,CityL,11436,2008
14091,Quiet Chaos,IFC,11434,2009
14092,The Great Invisible,RTWC,11428,2014
14093,The Final Member,Drft.,11428,2014
14097,Souvenir,Strand,11411,2018
14098,Taxidermia,Reg.,11408,2009
14099,Just Like a Woman,Cohen,11403,2013
14100,Beside Bowie: The Mick Ronson Story,PDF,11400,2017
14104,Cherry,Abr.,11362,2010
14106,The Amazing Catfish,Strand,11342,2014
14107,Saigon Bodyguards,CJ,11314,2017
14108,Viktoria,BWP,11314,2016
14110,"Otto; or, Up with the Dead People",Strand,11295,2008
14111,The Devil's Violinist,Free,11294,2015
14113,Dishkiyaoon,Eros,11288,2014
14114,Jeruzalem,EpicPics,11287,2016
14115,Theo Who Lived,Zeit.,11271,2016
14116,Looking for Palladin,Wildc.,11268,2009
14117,Policeman,Crnth,11263,2014
14118,Anonymous (2016),AD,11239,2016
14119,The Pathological Optimist,TFA,11222,2017
14120,The Assassin's Code,Grav.,11218,2018
14123,Ugetsu (2017 re-release),Jan.,11197,2017
14124,So Young,CL,11186,2013
14125,Children of Invention,,11183,2010
14126,Rendezvous in July (2018 re-release),Rialto,11168,2018
14127,Lost in Beijing,NYer,11163,2008
14128,Greetings from Tim Buckley,Trib.,11157,2013
14130,"Now, Forager",Argo.,11146,2012
14131,The Wedding Party 2: Destination Dubai,IronFlix,11140,2018
14132,Dragon (2012),RTWC,11137,2012
14135,InSight,CED,11100,2011
14136,Sweet Virginia,IFC,11089,2017
14138,The Challenge (2017),KL,11043,2017
14139,The Woman with the Five Elephants,CGld,11026,2011
14141,Pay 2 Play: Democracy's High Stakes,SFI,11021,2014
14142,The Front Line,WGUSA,11018,2012
14143,I Hate Valentine's Day,IFC,11004,2009
14145,Christina,Indic.,11000,2010
14148,1001 Grams,KL,10983,2015
14149,Tales of the Night,GK,10975,2012
14150,Just Before I Go,Anch.,10970,2015
14151,Digging Up the Marrow,HF,10969,2015
14152,Henning Mankell's 'Wallander': The Revenge,MBox,10960,2012
14153,Sarah Palin - You Betcha!,Free,10935,2011
14157,The Players,Wein.,10854,2014
14158,As It Is In Heaven,,10850,2014
14159,What Happened Last Night,Gemelli,10844,2016
14160,Spring Fever,Strand,10824,2010
14162,The Man Who Shook the Hand of Vicente Fernandez,Indic.,10782,2012
14164,Mala Mala,Strand,10761,2015
14165,Special Forces,EOne,10759,2012
14166,A Resurrection,AD,10730,2013
14169,Magic to Win,CL,10697,2011
14170,The Pleasure of Being Robbed,IFC,10687,2008
14171,Made in Cleveland,SE,10681,2013
14172,National Bird,FR,10656,2016
14173,Empire of Lust,CJ,10654,2015
14174,American Meat,LB,10650,2013
14175,Caucus,BFOA,10645,2013
14180,Lovesong,Strand,10626,2017
14182,Peter and Vandy,Strand,10618,2009
14184,Midget Zombie Takeover,DWOES,10604,2013
14185,"Marriage, Italian Style (2011 re-release)",KC,10600,2011
14186,Inside the Mind of Leonardo Da Vinci in 3D,SD,10600,2014
14187,whaledreamers,Mont.,10584,2008
14189,Found Memories,FM,10575,2012
14190,China Heavyweight,Zeit.,10550,2012
14196,Waiting for Armageddon,FRun,10501,2010
14198,Clarence (2017),Indic.,10495,2017
14200,Santa Mesa,Indic.,10490,2012
14201,The Autopsy of Jane Doe,IFC,10474,2016
14202,The Milk of Sorrow,Olive,10462,2010
14203,"Norte, the End of History",CGld,10457,2014
14204,Evil Intent,DWOES,10454,2013
14205,Class Rank,Cdgm.,10452,2018
14206,Rogue,TRR,10452,2008
14208,Stray Dogs,CGld,10433,2014
14210,Mama Africa Miriam Makeba,Artma,10430,2018
14212,Home (2009 drama),Mont.,10405,2009
14214,Shanghai Calling,SM,10400,2013
14215,Elemental,TFC,10358,2013
14216,Zero Bridge,FDesk,10357,2011
14217,The Heir Apparent: Largo Winch,MBox,10352,2011
14218,Liv & Ingmar,Jan.,10347,2013
14220,Serial Killer 1,KL,10330,2016
14221,Battle for Haditha,Lafa.,10310,2008
14223,Painted Woman,Amor,10298,2017
14224,The Vanished Empire,Kino,10289,2009
14226,Shepard and Dark,MBox,10278,2013
14227,As It Is in Heaven (2008),Vita.,10236,2008
14228,The Endless Summer (2014 re-release),Mont.,10233,2014
14229,Amelia 2.0,TriCoast,10233,2017
14230,Approaching the Unknown,INDEP,10232,2016
14232,The Prince of the Himalayas,AM,10190,2011
14233,Miss Minoes,MBox,10189,2011
14235,The Forecaster,FOR,10172,2015
14240,A Bird of the Air,Pala.,10152,2011
14241,Husbands in Goa,UTV,10135,2012
14243,Beta Test,Mirror,10104,2016
14245,Putin's Kiss,KL,10082,2012
14246,Before I Disappear,IFC,10078,2014
14247,Little Accidents,Ampl.,10071,2015
14248,The Informant,MBox,10068,2013
14250,The Sunshine Makers,FR,10042,2017
14251,Come Undone (2010),FM,10035,2010
14252,Starry Starry Night,CL,10033,2012
14253,Circle,Indic.,10024,2010
14254,The Mind of Mark DeFriest,CDF,10021,2015
14255,Arjun: The Warrior Prince,UTV,10017,2012
14256,The Do-Deca-Pentathlon,RF,10000,2012
14257,"Hugh Hefner: Playboy, Activist and Rebel",P4,10000,2010
14258,Furious (Legend of Kolovrat),CARUSEL,9996,2018
14259,Into the Forest,A24,9995,2016
14260,Made in France,UTMW,9956,2016
14261,Act of God,Zeit.,9955,2009
14267,Fix,Mang.,9890,2009
14268,In the Name Of,FM,9883,2013
14270,Please Stand By,Magn.,9868,2018
14272,A Screaming Man,FM,9862,2011
14273,InchAllah (U.S. only),EOne,9840,2013
14274,Kabbalah Me,FRun,9816,2014
14275,Down Terrace,Magn.,9812,2010
14276,The River Within,InsL,9811,2009
14277,Birth of the Living Dead,FRun,9802,2013
14279,Marius,KL,9781,2014
14281,Post Mortem,KL,9750,2012
14282,Welcome to the Punch,IFC,9747,2013
14288,"If You Don't, I Will",FM,9719,2014
14289,Machines,KL,9710,2017
14290,Antoine and Antoinette (2013 re-issue),Rialto,9704,2013
14291,Brutal Beauty: Tales of the Rose City Rollers,CP,9677,2010
14293,Endgame,Mont.,9645,2009
14294,The Quest of Alain Ducasse,Magn.,9627,2018
14298,Rec 3: Genesis,Magn.,9600,2012
14300,Mammoth,IFC,9580,2009
14301,On the Other Side of the Tracks,Wein.,9572,2014
14302,Vito Bonafacci,CAVU,9570,2011
14305,The Lost Arcade,26 Aries,9522,2016
14306,Strangers on the Earth,FRun,9518,2018
14307,Living Proof,Gathr,9512,2017
14308,That Summer,IFC,9501,2018
14310,Still Life (2015),Trib.,9481,2015
14311,In the House of Flies,PDF,9480,2014
14314,Tru Loved,Reg.,9467,2008
14316,Northern Lights (2013 re-release),APD/C,9453,2013
14317,As Tears Go By,Kino,9436,2008
14318,If I Were You,KL,9432,2013
14320,Zero Charisma,Trib.,9417,2013
14321,"One Cut, One Life",FRun,9406,2015
14326,Miss Kiet's Children,Icar.,9384,2017
14329,Radio Free Albemuth,Free,9365,2014
14330,Young People Fucking,Blow.,9359,2008
14331,The End of Love,Vari.,9342,2013
14332,200 Cartas,VF,9338,2013
14333,The Immortalists,Gathr,9331,2014
14335,Better Mus' Come,AFFRM,9318,2013
14336,Honeymoon,Magn.,9318,2014
14337,Wonderful World,Magn.,9309,2010
14339,Chosen,MDL,9283,2016
14340,The City Dark,Argo.,9269,2012
14341,Hooligan Sparrow,TFC,9263,2016
14344,Every Thing Will be Fine,IFC,9233,2015
14345,The Sacrament,Magn.,9221,2014
14346,The Ledge,IFC,9216,2011
14347,11 Flowers,FRun,9213,2013
14348,Ghost Team One,TFA,9195,2013
14349,Trouble Every Day (2013 re-release),FDesk,9189,2013
14350,Frank and Lola,Pala.,9188,2016
14352,Robert Blecker Wants Me Dead,Abr.,9166,2009
14353,Cupcakes,Strand,9129,2015
14354,Thirst Street,Gold.,9129,2017
14355,Call Me Kuchu,Cdgm.,9124,2013
14356,Faith Connections,KL,9111,2014
14357,Lycan,PDF,9110,2017
14358,The Eyes,PDF,9104,2017
14359,Julian Schnabel: A Private Portrait,Cohen,9103,2017
14360,Decoding Deepak,SF,9100,2012
14365,Janky Promoters,TRR,9069,2009
14367,El Mar La Mar,CGld,9065,2018
14369,The Lesson,FM,9045,2015
14371,Chronic,MR,9033,2016
14372,Clandestine Childhood,IFC,9017,2013
14373,Art of Submission,PMP,9004,2012
14374,Station to Station,SD,9000,2015
14375,Zoo Wars,PDF,8998,2018
14376,An Eye for Beauty,MR,8994,2015
14377,Survivors Guide to Prison,Grav.,8982,2018
14378,Brotherhood (Broderskab),Olive,8979,2010
14379,Big Words,AFFRM,8965,2013
14381,Magnus,FR,8944,2016
14382,Three Stars,FRun,8942,2012
14384,Corpo Celeste,FM,8919,2012
14385,Beauty and the Dogs,Osci.,8915,2018
14387,The Last King,Magn.,8905,2016
14389,Northern Soul,Free,8886,2015
14390,White Elephant,Strand,8884,2013
14392,B-Side,Indic.,8870,2015
14395,Special Treatment,FRun,8856,2011
14396,The Pardon,Mont.,8845,2015
14397,Providence,MS,8840,2016
14398,Home Run Showdown,Imag.,8824,2012
14399,The Cabinet of Dr. Caligari (2014 re-release),KL,8811,2014
14400,Paul Coelho's Best Story,MBox,8808,2015
14401,Dawn of the Crescent Moon,Indic.,8799,2015
14402,Hell Baby,MNE,8785,2013
14406,Elite Squad,IFC,8744,2008
14407,Only When I Dance,FM,8738,2010
14409,Fanny,KL,8735,2014
14410,How I Ended This Summer,FM,8733,2011
14412,The Man in the White Suit (2012 re-release),Rialto,8718,2012
14413,Blood Feast,Hann.,8708,2018
14414,I'm Glad My Mother is Alive,Strand,8705,2011
14415,Amnesia,FM,8700,2017
14416,Man on a Mission,FRun,8688,2012
14417,Without the King,FRun,8663,2008
14418,Amexicano,Maya,8655,2008
14419,"Small, Beautiful Moving Parts",Long Shot,8631,2012
14420,A Good Day to Be Black and Sexy,Magn.,8629,2008
14422,Comet,IFC,8623,2014
14423,Mosquita y Mari,TFC,8614,2012
14424,Meet Me in Montenegro,Orch.,8612,2015
14425,Farewell to Hollywood,ICir,8601,2015
14426,General Education,PHP,8601,2012
14429,Lucky (2011),P4,8564,2011
14430,The Mystery of Happiness,Strand,8528,2014
14431,Maigret Sets a Trap (2017 re-release),KL,8528,2017
14433,The Quitter,OGP,8512,2014
14434,Cartas a Elena,Free,8511,2012
14435,The Country Doctor,Distrib.,8494,2017
14436,Summer of '67,MS,8492,2018
14438,Another Happy Day,P4,8464,2011
14439,Canopy,Mont.,8462,2014
14442,The Snowtown Murders,IFC,8452,2012
14443,Blind Date (2009),Vari.,8449,2009
14444,Almost Human,IFC,8447,2014
14445,The Institute,Argo.,8445,2013
14446,We Are the Flesh,Arrow,8438,2017
14447,Hello Herman,Free,8437,2013
14448,Red Hollywood,CGld,8426,2014
14449,Love is in the Air,Focus,8425,2014
14451,Dreams of a Life,Strand,8405,2012
14452,The Happy Sad,THS,8395,2013
14453,Downloaded,Abr.,8377,2013
14454,Counting,CGld,8374,2015
14455,Gilbert,SD,8362,2017
14457,Stealing America: Vote by Vote,Drct.,8350,2008
14458,Eternity the Movie,Indic.,8350,2014
14459,Gringo Trails,Icar.,8349,2014
14460,A Teacher,Osci.,8348,2013
14463,Natasha,Men.,8325,2017
14464,Winter of Frozen Dreams,Mont.,8321,2009
14465,Mr. Chibbs,Abr.,8302,2017
14466,Grace (2009),Anch.,8297,2009
14467,Served Like a Girl,ENTMP,8290,2017
14468,Yonkers Joe,Magn.,8286,2009
14469,We Are Twisted F***ing Sister!,MBox,8277,2016
14470,Life Partners,Magn.,8265,2014
14471,Aliyah,FM,8253,2013
14472,Mojave,A24,8253,2016
14473,The Girl in the Book,Free,8245,2015
14474,Empty Hours,Strand,8244,2014
14475,Korkoro,Lorb.,8242,2011
14476,Silicon Cowboys,FR,8239,2016
14479,A Fool (Yi ge shao zi),CL,8212,2015
14480,Gladiators of Rome,VPD,8201,2014
14481,Spiral,Cohen,8190,2018
14482,Jellyfish Eyes,Jan.,8176,2015
14483,Anatahan (2017 re-release),KL,8171,2017
14487,Argento's Dracula 3D,IFC,8139,2013
14489,Loren Cass,Kino,8125,2009
14490,What's In a Name?,UTMW,8111,2013
14491,From Nowhere,FR,8109,2017
14493,Restless City,AFFRM,8100,2012
14494,La Maison De La Radio,KL,8095,2013
14495,Next Year Jerusalem,FRun,8093,2014
14496,Pawn Shop Chronicles,Anch.,8088,2013
14498,Golden Kingdom,KL,8077,2016
14500,The Other Side,FM,8074,2016
14501,Spinning Into Butter,Scre.,8064,2009
14502,I Sell the Dead,IFC,8050,2009
14506,Reunion,Abr.,8030,2009
14508,Steak (R)evolution,KL,8025,2015
14509,Straight Outta Tompkins,Indic.,8022,2015
14510,Wrecked,IFC,8020,2011
14513,Pet,Gold.,8004,2016
14516,Talent Has Hunger,FRun,7998,2016
14517,All About Evil,PC,7995,2010
14519,Eleven Minutes,Reg.,7986,2009
14520,One Small Hitch,Free,7965,2015
14521,Roseanne for President!,IFC,7960,2016
14522,Stolen (2010),IFC,7943,2010
14524,Mugabe and the White African,FRun,7924,2010
14525,Portrait of a Garden,Ghop,7914,2016
14526,Kilo Two Bravo,Hon,7891,2015
14527,The Babymakers,MNE,7889,2012
14528,Nothing Left to Fear,Anch.,7886,2013
14530,Swept Away (2017 re-release),KL,7876,2017
14532,Rigor Mortis,WGUSA,7865,2014
14533,Zenith,CP,7862,2010
14534,The Ballad of Lefty Brown,A24,7856,2017
14536,Roadie (2012),Magn.,7825,2012
14537,Photographic Memory,FRun,7822,2012
14538,The Great Man,Distrib.,7814,2015
14539,Overdrive,VE,7793,2017
14540,Archipelago,KL,7791,2014
14543,And While We Were Here,WGUSA,7750,2013
14544,Come Back to Me,Free,7744,2014
14545,The Riot Club,IFC,7734,2015
14546,A Walk to Beautiful,Engel,7718,2008
14547,Dark River,FR,7714,2018
14548,Maurizio Cattelan: Be Right Back,B360,7706,2017
14550,I Don't Belong Anywhere: The Cinema of Chantal Akerman,Icar.,7703,2016
14554,Iceman (2014),WGUSA,7679,2014
14558,Last Days Here,IFC,7643,2012
14559,Legend of the Mountain (2017 re-release),KL,7640,2018
14560,Jazz in the Diamond District,Truly,7634,2009
14561,King of Devil's Island,FM,7615,2011
14562,The President,Crnth,7578,2016
14563,Area 51,PARAIN,7556,2015
14565,The Wrong Light,CGld,7553,2017
14566,Tales from the Script,FRun,7535,2010
14567,Girls Against Boys,Anch.,7529,2013
14568,Birthright: A War Story,Abr.,7519,2017
14569,They Will Have to Kill Us First,BBC,7516,2016
14572,Frank Serpico,IFC,7489,2017
14573,Old Stone,Zeit.,7476,2016
14574,Brooklyn Brothers Beat the Best,Osci.,7466,2012
14575,Udaan,UTV,7461,2010
14577,The Little Bedroom,CLS,7440,2014
14578,Raze,IFC,7429,2014
14579,Bel Borba Aqui,PDA,7426,2012
14580,On the Way to School,Distrib.,7424,2015
14582,Rubble Kings,Sab.,7416,2015
14583,Price Check,IFC,7413,2012
14586,The Giant Mechanical Man,Trib.,7396,2012
14588,The Thorn in the Heart,Osci.,7376,2010
14589,Desperate Acts of Magic,GCF,7373,2013
14590,The Lodgers,EpicPics,7362,2018
14591,The Film Critic,MBox,7358,2015
14593,Big Time,Abr.,7347,2017
14595,Eden Lake,TRR,7321,2008
14597,Gangster's Paradise: Jerusalema,Anch.,7294,2010
14598,Another WolfCop,PDF,7285,2017
14599,The Dinner,FM,7282,2015
14603,Indian Point,FRun,7251,2016
14605,Tall: The American Skyscraper and Louis Sullivan,CGld,7216,2018
14607,I Am Ali,Focus,7205,2014
14608,Special,Magn.,7202,2008
14609,London River,Libre,7200,2011
14610,Happiness Runs,Strand,7199,2010
14612,Antarctic Edge,FRun,7193,2015
14613,Li'l Quinquin,KL,7192,2015
14614,The Strange Color of Your Body's Tears,Strand,7182,2014
14615,ABCs of Death 2,Magn.,7171,2014
14616,It Had to be You,Gold.,7162,2016
14617,"Ugly, Dirty and Bad (Re-Release)",FM,7144,2016
14618,Logan,RB,7137,2010
14623,A Perfect Man,IFC,7117,2013
14625,Domain (2012),Strand,7105,2012
14626,The Jazz Funeral,Indic.,7103,2017
14627,The Dark Below,PDF,7095,2017
14628,Stage Fright (2014),Magn.,7078,2014
14630,Good Neighbors,Magn.,7072,2011
14631,Plot for Peace,,7051,2014
14632,This is Congo,Abr.,7051,2018
14633,The Brainwashing of My Dad,JSenko,7028,2016
14635,In the Land of Pomegranates,FRun,7014,2018
14637,Corman's World,Anch.,7000,2011
14639,The Brass Teapot,Magn.,6997,2013
14642,The Killing of John Lennon,IFC,6975,2008
14645,"Love, Marilyn",SD,6950,2012
14646,Anamorph,IFC,6950,2008
14647,Finding Mr. Right,CL,6945,2013
14650,Very Good Girls,WGUSA,6940,2014
14651,Hungry Hearts,IFC,6921,2015
14652,A Kind of Loving (2017 re-release),Rialto,6912,2017
14653,Assaulted: Civil Rights Under Fire,HTR,6905,2013
14655,Boom Bust Boom,BSM,6896,2016
14656,Misconceptions,Reg.,6892,2010
14657,Sal,Trib.,6883,2013
14658,The Human Scale,KS,6878,2013
14659,Duckbutter,Orch.,6877,2018
14660,Pioneer,Magn.,6871,2014
14661,The Sisterhood of Night,Free,6870,2015
14663,Last Ride,MBox,6853,2012
14665,My Piece of the Pie,IFC,6850,2011
14666,Steve McQueen: The Man & Le Mans,FR,6843,2015
14667,Janie Jones,Trib.,6840,2011
14668,Mad Tiger,FM,6823,2016
14669,The Mutant Chronicles,Magn.,6820,2009
14670,"No God, No Master",Mont.,6796,2014
14673,Finding Bliss,P4,6783,2010
14674,Mercy (2010),IFC,6780,2010
14676,Before You Know It,TFC,6717,2014
14677,Paradise: Hope,Strand,6701,2013
14678,London to Brighton,OutF,6700,2008
14679,Will You Still Love Me Tomorrow,FM,6694,2014
14680,Capture the Flag,Par.,6690,2015
14681,Regina Spektor: Live In London,CP,6684,2010
14682,The Skeptic,IFC,6671,2009
14683,Footnotes,MR,6660,2017
14685,Suntan,Strand,6643,2017
14686,Ghost Team,Orch.,6639,2016
14688,The Persian Connection,Gold.,6634,2017
14689,Breakfast with Curtis,Abr.,6629,2013
14690,The Dying of the Light,FRun,6627,2016
14692,Take,LibE,6627,2008
14694,Brief Reunion,SE,6601,2013
14695,Aatsinki: The Story of Arctic Cowboys,Argo.,6601,2014
14696,One Piece Movie: The Desert Princess and the Pirates Adventures in Alabasta,BPic,6587,2008
14697,Down the Shore,Anch.,6558,2013
14699,Life of a King,MNE,6547,2014
14700,In Our Nature,Cdgm.,6543,2012
14701,Elizabeth Blue,Global Digit,6542,2017
14702,Pretty Ugly People,Osiris,6537,2009
14703,Dream Boy,Reg.,6534,2010
14707,Paradise: Faith,Strand,6508,2013
14708,Horse Money,CGld,6508,2015
14710,Jews of Egypt,Artma,6505,2014
14711,Windfall,FRun,6504,2012
14712,The Beat Hotel,FRun,6480,2012
14714,Scum (2017 re-release),KL,6461,2017
14717,Ek Vivah Aisa Bhi,Eros,6437,2008
14718,The Suicide Theory,Free,6434,2015
14720,Some Velvet Morning,Trib.,6420,2013
14723,The Adventurer: The Curse of the Midas Box,TFA,6399,2014
14724,Arabian Nights: Volume 2 - The Desolate One,KL,6398,2015
14726,100 Bloody Acres,DR,6388,2013
14728,I Melt With You,Magn.,6361,2011
14729,Inescapable,IFC,6334,2013
14730,Alleluia,MBox,6334,2015
14731,The Charnel House,Free,6332,2016
14732,Chillar Party,UTV,6330,2011
14733,Watercolors,Reg.,6305,2010
14734,My Joy,KL,6298,2011
14735,Manuscripts Don't Burn,KL,6295,2014
14736,Last Rampage,EpicPics,6294,2017
14738,Inseparables,FM,6258,2017
14739,Tonight You're Mine,RAtt.,6255,2012
14740,The Skyjacker's Tale,Strand,6253,2017
14744,In the Steps of Trisha Brown,Icar.,6230,2017
14745,The Bad Kids,FR,6226,2016
