rank,title,studio,lifetime_gross,year
1050,White House Down,Sony,73103784,2013
1051,John Carter,BV,73078100,2012
1052,Hotel for Dogs,P/DW,73034460,2009
1053,Dinner for Schmucks,P/DW,73026337,2010
1054,Justin Bieber: Never Say Never,Par.,73013910,2011
1057,Hercules (2014),Par.,72688614,2014
1058,Storks,WB,72679278,2016
1061,Bridge of Spies,BV,72313754,2015
1062,Dolphin Tale,WB,72286779,2011
1063,Vantage Point,Sony,72266306,2008
1066,A Bad Moms Christmas,STX,72110659,2017
1068,Michael Jackson's This Is It,Sony,72091016,2009
1069,10 Cloverfield Lane,Par.,72082998,2016
1073,The Purge: Anarchy,Uni.,71962800,2014
1076,Mama,Uni.,71628180,2013
1086,"I Love You, Man",P/DW,71440011,2009
1087,Safe Haven,Rela.,71349120,2013
1091,The Spiderwick Chronicles,Par.,71195053,2008
1094,Paul Blart: Mall Cop 2,Sony,71038190,2015
1095,The Smurfs 2,Sony,71017784,2013
1102,No Strings Attached,Par.,70662220,2011
1104,The Best Man Holiday,Uni.,70525195,2013
1113,The Big Short,Par.,70259870,2015
1114,Fool's Gold,WB,70231041,2008
1123,Act of Valor,Rela.,70012847,2012
1125,Seven Pounds,Sony,69951824,2008
1137,Game Night,WB (NL),69001013,2018
1140,The First Purge,Uni.,68809315,2018
1143,Book Club,Par.,68566296,2018
1144,Percy Jackson: Sea of Monsters,Fox,68559554,2013
1148,Obsessed,SGem,68261644,2009
1149,Mr. Popper's Penguins,Fox,68224452,2011
1151,War Room,TriS,67790117,2015
1155,The Tourist,Sony,67631157,2010
1156,Insidious: The Last Key,Uni.,67560690,2018
1157,This Is 40,Uni.,67544505,2012
1161,A Good Day to Die Hard,Fox,67349198,2013
1163,Role Models,Uni.,67294270,2008
1164,Lights Out,WB (NL),67268835,2016
1166,Hacksaw Ridge,LGF,67209615,2016
1168,Race to Witch Mountain,BV,67172594,2009
1171,The Bounty Hunter,Sony,67061228,2010
1175,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",BV,66954149,2014
1177,Skyscraper,Uni.,66896620,2018
1186,Contraband,Uni.,66528000,2012
1188,Looper,TriS,66486205,2012
1189,The Final Destination,WB (NL),66477700,2009
1192,Warm Bodies,LG/S,66380662,2013
1195,The Divergent Series: Allegiant,LG/S,66184051,2016
1198,Magic Mike XXL,WB,66013057,2015
1206,Tyler Perry's Madea's Witness Protection,LGF,65653242,2012
1209,The Taking of Pelham 1 2 3,Sony,65452312,2009
1210,Battleship,Uni.,65422625,2012
1212,Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour,BV,65281781,2008
1215,The Visit,Uni.,65206105,2015
1217,Jack the Giant Slayer,WB (NL),65187603,2013
1218,Think Like a Man Too,SGem,65182182,2014
1220,Now You See Me 2,LG/S,65075540,2016
1222,Exodus: Gods and Kings,Fox,65014513,2014
1224,Friday the 13th (2009),WB (NL),65002019,2009
1225,Pitch Perfect,Uni.,65001093,2012
1227,Mirror Mirror,Rela.,64935167,2012
1232,Chronicle (2012),Fox,64575175,2012
1233,A Dog's Purpose,Uni.,64508620,2017
1234,The Happening,Fox,64506874,2008
1235,The Purge,Uni.,64473115,2013
1236,The Wedding Ringer,SGem,64460211,2015
1240,The Nut Job,ORF,64251541,2014
1242,17 Again,WB (NL),64167069,2009
1243,Ice Age: Collision Course,Fox,64063008,2016
1245,Happy Feet Two,WB,64006466,2011
1246,Diary of a Wimpy Kid,Fox,64003625,2010
1249,Last Vegas,CBS,63914167,2013
1252,The Shape of Water,FoxS,63859435,2017
1258,Unknown,WB,63686397,2011
1262,Hope Springs,Sony,63536011,2012
1265,The Time Traveler's Wife,WB (NL),63414846,2009
1270,The Boss,Uni.,63285885,2016
1275,Forgetting Sarah Marshall,Uni.,63172463,2008
1276,The Sorcerer's Apprentice,BV,63150991,2010
1279,A Nightmare on Elm Street (2010),WB (NL),63075011,2010
1280,The Last Song,BV,62950384,2010
1281,London Has Fallen,Focus,62678608,2016
1283,Black Mass,WB,62575678,2015
1286,The Adjustment Bureau,Uni.,62495645,2011
1289,Underworld Awakening,SGem,62321039,2012
1292,The Wolfman,Uni.,61979680,2010
1296,Ender's Game,LG/S,61737191,2013
1297,Miracles from Heaven,TriS,61705123,2016
1301,Deepwater Horizon,LG/S,61433527,2016
1310,Prisoners,WB,61002302,2013
1311,Get Him to the Greek,Uni.,60974475,2010
1317,God's Not Dead,Free,60755732,2014
1323,After Earth,Sony,60522097,2013
1324,Baby Mama,Uni.,60494212,2008
1326,The Lucky One,WB,60457138,2012
1328,Burn After Reading,Focus,60355347,2008
1330,Why Him?,Fox,60323786,2016
1332,Blockers,Uni.,60147900,2018
1333,Resident Evil: Afterlife,SGem,60128566,2010
1334,Tyler Perry's Why Did I Get Married Too?,LGF,60095852,2010
1340,Bruno,Uni.,60054530,2009
1342,Tooth Fairy,Fox,60022256,2010
1350,Secretariat,BV,59713955,2010
1351,Son of God,Fox,59700064,2014
1354,My Big Fat Greek Wedding 2,Uni.,59689605,2016
1355,The Dictator,Par.,59650222,2012
1357,Pacific Rim Uprising,Uni.,59587110,2018
1361,The Grand Budapest Hotel,FoxS,59301324,2014
1362,The LEGO Ninjago Movie,WB,59281555,2017
1363,Planes: Fire & Rescue,BV,59165787,2014
1367,Vacation,WB (NL),58884188,2015
1369,Total Recall (2012),Sony,58877969,2012
1373,Bride Wars,Fox,58715510,2009
1374,Water for Elephants,Fox,58709717,2011
1375,Jack Reacher: Never Go Back,Par.,58697076,2016
1379,RoboCop (2014),Sony,58607007,2014
1385,Easy A,SGem,58401464,2010
1389,The Secret Life of Walter Mitty,Fox,58236838,2013
1393,Baywatch,Par.,58060186,2017
1395,Maze Runner: The Death Cure,Fox,58032443,2018
1396,Step Up 2 the Streets,BV,58017783,2008
1397,The Lincoln Lawyer,LGF,58009200,2011
1405,Takers,SGem,57744720,2010
1407,Fences,Par.,57682904,2016
1413,Tomb Raider,WB,57421715,2018
1416,The Shack,LG/S,57386418,2017
1431,The Perfect Guy,SGem,57027435,2015
1432,Escape From Planet Earth,Wein.,57012977,2013
1433,American Reunion,Uni.,57011521,2012
1437,Midnight in Paris,SPC,56817045,2011
1438,Saw V,LGF,56746769,2008
1440,12 Years a Slave,FoxS,56671993,2013
1447,Darkest Hour,Focus,56468410,2017
1448,Joy,Fox,56451232,2015
1455,Dracula Untold,Uni.,56280355,2014
1456,Me Before You,WB (NL),56245075,2016
1458,Fantastic Four,Fox,56117548,2015
1462,ParaNorman,Focus,56003051,2012
1466,Friends with Benefits,SGem,55802754,2011
1467,Free Birds,Rela.,55750480,2013
1468,Hansel and Gretel: Witch Hunters,Par.,55703475,2013
1470,Happy Death Day,Uni.,55683845,2017
1471,Legend of the Guardians: The Owls of Ga'Hoole,WB,55675313,2010
1474,The BFG,BV,55483770,2016
1477,Neighbors 2: Sorority Rising,Uni.,55455765,2016
1479,The Haunting in Connecticut,LGF,55389516,2009
1481,Ghosts of Girlfriends Past,WB (NL),55250026,2009
1483,The Shallows,Sony,55124043,2016
